Node_Index_0based,Node_Index_1based,Parcel_Label,Structure_Type,Hemisphere,Anatomical_Region,Yeo_Network,FSL_Label,In_Posterior_Hot_Zone,In_Global_Neuronal_Workspace
0,1,7Networks_LH_Vis_1,Cortex,Left,Vis,Visual,-1,1,0
1,2,7Networks_LH_Vis_2,Cortex,Left,Vis,Visual,-1,1,0
2,3,7Networks_LH_Vis_3,Cortex,Left,Vis,Visual,-1,1,0
3,4,7Networks_LH_Vis_4,Cortex,Left,Vis,Visual,-1,1,0
4,5,7Networks_LH_Vis_5,Cortex,Left,Vis,Visual,-1,1,0
5,6,7Networks_LH_Vis_6,Cortex,Left,Vis,Visual,-1,1,0
6,7,7Networks_LH_Vis_7,Cortex,Left,Vis,Visual,-1,1,0
7,8,7Networks_LH_Vis_8,Cortex,Left,Vis,Visual,-1,1,0
8,9,7Networks_LH_Vis_9,Cortex,Left,Vis,Visual,-1,1,0
9,10,7Networks_LH_Vis_10,Cortex,Left,Vis,Visual,-1,1,0
10,11,7Networks_LH_Vis_11,Cortex,Left,Vis,Visual,-1,1,0
11,12,7Networks_LH_Vis_12,Cortex,Left,Vis,Visual,-1,1,0
12,13,7Networks_LH_Vis_13,Cortex,Left,Vis,Visual,-1,1,0
13,14,7Networks_LH_Vis_14,Cortex,Left,Vis,Visual,-1,1,0
14,15,7Networks_LH_Vis_15,Cortex,Left,Vis,Visual,-1,1,0
15,16,7Networks_LH_Vis_16,Cortex,Left,Vis,Visual,-1,1,0
16,17,7Networks_LH_Vis_17,Cortex,Left,Vis,Visual,-1,1,0
17,18,7Networks_LH_Vis_18,Cortex,Left,Vis,Visual,-1,1,0
18,19,7Networks_LH_Vis_19,Cortex,Left,Vis,Visual,-1,1,0
19,20,7Networks_LH_Vis_20,Cortex,Left,Vis,Visual,-1,1,0
20,21,7Networks_LH_Vis_21,Cortex,Left,Vis,Visual,-1,1,0
21,22,7Networks_LH_Vis_22,Cortex,Left,Vis,Visual,-1,1,0
22,23,7Networks_LH_Vis_23,Cortex,Left,Vis,Visual,-1,1,0
23,24,7Networks_LH_Vis_24,Cortex,Left,Vis,Visual,-1,1,0
24,25,7Networks_LH_Vis_25,Cortex,Left,Vis,Visual,-1,1,0
25,26,7Networks_LH_Vis_26,Cortex,Left,Vis,Visual,-1,1,0
26,27,7Networks_LH_Vis_27,Cortex,Left,Vis,Visual,-1,1,0
27,28,7Networks_LH_Vis_28,Cortex,Left,Vis,Visual,-1,1,0
28,29,7Networks_LH_Vis_29,Cortex,Left,Vis,Visual,-1,1,0
29,30,7Networks_LH_Vis_30,Cortex,Left,Vis,Visual,-1,1,0
30,31,7Networks_LH_Vis_31,Cortex,Left,Vis,Visual,-1,1,0
31,32,7Networks_LH_Vis_32,Cortex,Left,Vis,Visual,-1,1,0
32,33,7Networks_LH_Vis_33,Cortex,Left,Vis,Visual,-1,1,0
33,34,7Networks_LH_Vis_34,Cortex,Left,Vis,Visual,-1,1,0
34,35,7Networks_LH_Vis_35,Cortex,Left,Vis,Visual,-1,1,0
35,36,7Networks_LH_Vis_36,Cortex,Left,Vis,Visual,-1,1,0
36,37,7Networks_LH_Vis_37,Cortex,Left,Vis,Visual,-1,1,0
37,38,7Networks_LH_Vis_38,Cortex,Left,Vis,Visual,-1,1,0
38,39,7Networks_LH_Vis_39,Cortex,Left,Vis,Visual,-1,1,0
39,40,7Networks_LH_Vis_40,Cortex,Left,Vis,Visual,-1,1,0
40,41,7Networks_LH_Vis_41,Cortex,Left,Vis,Visual,-1,1,0
41,42,7Networks_LH_Vis_42,Cortex,Left,Vis,Visual,-1,1,0
42,43,7Networks_LH_Vis_43,Cortex,Left,Vis,Visual,-1,1,0
43,44,7Networks_LH_Vis_44,Cortex,Left,Vis,Visual,-1,1,0
44,45,7Networks_LH_Vis_45,Cortex,Left,Vis,Visual,-1,1,0
45,46,7Networks_LH_Vis_46,Cortex,Left,Vis,Visual,-1,1,0
46,47,7Networks_LH_Vis_47,Cortex,Left,Vis,Visual,-1,1,0
47,48,7Networks_LH_Vis_48,Cortex,Left,Vis,Visual,-1,1,0
48,49,7Networks_LH_Vis_49,Cortex,Left,Vis,Visual,-1,1,0
49,50,7Networks_LH_Vis_50,Cortex,Left,Vis,Visual,-1,1,0
50,51,7Networks_LH_Vis_51,Cortex,Left,Vis,Visual,-1,1,0
51,52,7Networks_LH_Vis_52,Cortex,Left,Vis,Visual,-1,1,0
52,53,7Networks_LH_Vis_53,Cortex,Left,Vis,Visual,-1,1,0
53,54,7Networks_LH_Vis_54,Cortex,Left,Vis,Visual,-1,1,0
54,55,7Networks_LH_Vis_55,Cortex,Left,Vis,Visual,-1,1,0
55,56,7Networks_LH_Vis_56,Cortex,Left,Vis,Visual,-1,1,0
56,57,7Networks_LH_Vis_57,Cortex,Left,Vis,Visual,-1,1,0
57,58,7Networks_LH_Vis_58,Cortex,Left,Vis,Visual,-1,1,0
58,59,7Networks_LH_Vis_59,Cortex,Left,Vis,Visual,-1,1,0
59,60,7Networks_LH_Vis_60,Cortex,Left,Vis,Visual,-1,1,0
60,61,7Networks_LH_Vis_61,Cortex,Left,Vis,Visual,-1,1,0
61,62,7Networks_LH_Vis_62,Cortex,Left,Vis,Visual,-1,1,0
62,63,7Networks_LH_Vis_63,Cortex,Left,Vis,Visual,-1,1,0
63,64,7Networks_LH_Vis_64,Cortex,Left,Vis,Visual,-1,1,0
64,65,7Networks_LH_Vis_65,Cortex,Left,Vis,Visual,-1,1,0
65,66,7Networks_LH_Vis_66,Cortex,Left,Vis,Visual,-1,1,0
66,67,7Networks_LH_Vis_67,Cortex,Left,Vis,Visual,-1,1,0
67,68,7Networks_LH_Vis_68,Cortex,Left,Vis,Visual,-1,1,0
68,69,7Networks_LH_Vis_69,Cortex,Left,Vis,Visual,-1,1,0
69,70,7Networks_LH_Vis_70,Cortex,Left,Vis,Visual,-1,1,0
70,71,7Networks_LH_Vis_71,Cortex,Left,Vis,Visual,-1,1,0
