Node_Index,Parcel_Label,Yeo_Network,In_Posterior_Hot_Zone,In_Global_Neuronal_Workspace
0,7Networks_LH_Vis_1,Visual,1,0
1,7Networks_LH_Vis_2,Visual,1,0
2,7Networks_LH_Vis_3,Visual,1,0
3,7Networks_LH_Vis_4,Visual,1,0
4,7Networks_LH_Vis_5,Visual,1,0
5,7Networks_LH_Vis_6,Visual,1,0
6,7Networks_LH_Vis_7,Visual,1,0
7,7Networks_LH_Vis_8,Visual,1,0
8,7Networks_LH_Vis_9,Visual,1,0
9,7Networks_LH_Vis_10,Visual,1,0
10,7Networks_LH_Vis_11,Visual,1,0
11,7Networks_LH_Vis_12,Visual,1,0
12,7Networks_LH_Vis_13,Visual,1,0
13,7Networks_LH_Vis_14,Visual,1,0
14,7Networks_LH_Vis_15,Visual,1,0
15,7Networks_LH_Vis_16,Visual,1,0
16,7Networks_LH_Vis_17,Visual,1,0
17,7Networks_LH_Vis_18,Visual,1,0
18,7Networks_LH_Vis_19,Visual,1,0
19,7Networks_LH_Vis_20,Visual,1,0
20,7Networks_LH_Vis_21,Visual,1,0
21,7Networks_LH_Vis_22,Visual,1,0
22,7Networks_LH_Vis_23,Visual,1,0
23,7Networks_LH_Vis_24,Visual,1,0
24,7Networks_LH_Vis_25,Visual,1,0
25,7Networks_LH_Vis_26,Visual,1,0
26,7Networks_LH_Vis_27,Visual,1,0
27,7Networks_LH_Vis_28,Visual,1,0
28,7Networks_LH_Vis_29,Visual,1,0
29,7Networks_LH_Vis_30,Visual,1,0
30,7Networks_LH_Vis_31,Visual,1,0
31,7Networks_LH_Vis_32,Visual,1,0
32,7Networks_LH_Vis_33,Visual,1,0
33,7Networks_LH_Vis_34,Visual,1,0
34,7Networks_LH_Vis_35,Visual,1,0
35,7Networks_LH_Vis_36,Visual,1,0
36,7Networks_LH_Vis_37,Visual,1,0
37,7Networks_LH_Vis_38,Visual,1,0
38,7Networks_LH_Vis_39,Visual,1,0
39,7Networks_LH_Vis_40,Visual,1,0
40,7Networks_LH_Vis_41,Visual,1,0
41,7Networks_LH_Vis_42,Visual,1,0
42,7Networks_LH_Vis_43,Visual,1,0
43,7Networks_LH_Vis_44,Visual,1,0
44,7Networks_LH_Vis_45,Visual,1,0
45,7Networks_LH_Vis_46,Visual,1,0
46,7Networks_LH_Vis_47,Visual,1,0
47,7Networks_LH_Vis_48,Visual,1,0
48,7Networks_LH_Vis_49,Visual,1,0
49,7Networks_LH_Vis_50,Visual,1,0
50,7Networks_LH_Vis_51,Visual,1,0
51,7Networks_LH_Vis_52,Visual,1,0
52,7Networks_LH_Vis_53,Visual,1,0
53,7Networks_LH_Vis_54,Visual,1,0
54,7Networks_LH_Vis_55,Visual,1,0
55,7Networks_LH_Vis_56,Visual,1,0
56,7Networks_LH_Vis_57,Visual,1,0
57,7Networks_LH_Vis_58,Visual,1,0
58,7Networks_LH_Vis_59,Visual,1,0
59,7Networks_LH_Vis_60,Visual,1,0
60,7Networks_LH_Vis_61,Visual,1,0
61,7Networks_LH_Vis_62,Visual,1,0
62,7Networks_LH_Vis_63,Visual,1,0
63,7Networks_LH_Vis_64,Visual,1,0
64,7Networks_LH_Vis_65,Visual,1,0
65,7Networks_LH_Vis_66,Visual,1,0
